Cities,Ahmedabad,Bangalore,Bhubaneshwar,Bombay,Calcutta,Chandigarh,Cochin,Delhi,Hyderabad,Indore,Jaipur,Kanpur,Lucknow,Madras,Nagpur,Nasik,Panjim,Patna,Pondicherry,Pune
Agartala,3220,3277,2286,3421,1863,2929,3635,2681,3150,2886,2793,2276,2247,3328,2674,3238,2837,1681,3160,3338
Agra,878,1681,1573,1180,1300,448,2064,200,1246,591,230,290,369,1728,770,1005,1480,885,1560,1214
Ahmedabad,-,1395,1647,552,1493,1155,1845,911,1209,442,648,1108,1187,1726,875,504,1136,1539,1723,664
Allahabad,1245,1405,1090,1352,817,854,1607,650,1084,803,710,193,234,1245,608,1155,1419,402,1077,1364
Amritsar,1354,2157,2158,1700,1885,239,2204,445,1833,1111,706,900,939,2338,1357,1525,1956,1445,2170,1734
Asansol,1719,1640,523,1784,226,1450,1998,1262,1567,1394,1304,789,825,1730,1122,1746,1200,395,1874,1701
Bangalore,1395,-,1412,910,1414,1958,512,1714,563,1339,1451,1598,1639,331,1039,940,440,1807,328,731
Baroda,119,1276,1604,433,1612,1181,1726,1030,1090,379,767,1068,1147,1607,774,457,1017,1582,1604,545
Bhopal,523,1148,1162,778,1495,988,1660,742,808,191,596,585,664,1479,352,605,1143,1016,1476,814
Bhubaneshwar,1647,1412,-,1679,423,1944,1828,1713,1044,1275,1680,1283,1254,1207,830,1516,1397,862,1373,1587
Bombay,552,910,1679,-,1558,1501,1360,1257,729,589,994,1278,1357,1241,849,197,584,1754,1238,184
Calcutta,1493,1414,423,1558,-,1671,1772,1440,1467,1608,1527,1010,981,1630,1163,1675,974,621,1713,1475
Calicut,1648,520,1922,1160,1550,2187,222,2089,910,1607,1826,1836,1877,715,1386,1193,576,2045,566,984
Chandigarh,1155,1958,1944,1501,1671,-,1965,248,1594,912,507,661,740,2099,1118,1326,1757,1248,1931,1535
Cochin,1845,512,1828,1360,1772,1965,-,2097,1075,1804,1834,1800,1841,621,1551,1390,798,2009,530,1181
Coimbatore,1669,333,1633,1189,1747,2160,195,2047,896,1628,1784,1680,1721,426,1372,1214,773,1889,410,1005
Delhi,911,1714,1713,1257,1440,248,2097,-,1446,668,263,481,499,1895,970,1082,1513,1000,1727,1291
Gwalior,919,1695,1486,1085,1224,462,1881,315,1132,497,351,280,359,1718,656,891,1467,809,1550,1100
Hubli,1101,391,1530,614,1164,1567,774,1323,486,1060,1060,1577,1656,683,962,646,190,1785,653,437
Hyderabad,1209,563,1044,729,1467,1594,1075,1446,-,921,1326,1253,1317,699,476,754,676,1469,865,545
Imphal,3073,3131,2139,3275,1717,2782,3489,2534,3003,2739,2646,2129,2100,3181,2527,3091,2691,1534,3013,3192
Indore,442,1339,1275,589,1608,912,1804,668,921,-,405,689,768,1619,445,414,1115,1205,1667,623
Jabalpur,901,1296,1087,1106,1167,1046,1808,800,733,702,845,543,584,1431,257,943,1088,736,1597,1003
Jaipur,648,1451,1680,994,1527,507,1834,263,1326,405,-,517,596,1743,850,819,1250,1112,1713,1028
Jamshedpur,1225,1682,422,1777,268,1528,2040,1348,1466,1477,1384,867,946,1629,1102,1729,1242,473,1795,1743
Jullundur,1285,2089,2088,1632,1815,154,2119,375,1748,1043,638,815,868,2253,1272,1457,1888,1375,2085,1666
Kanpur,1108,1598,1283,1278,1010,661,1800,481,1253,689,517,-,79,1438,777,1103,1612,595,1270,1312
Kolhapur,911,484,1622,426,1228,1782,934,1538,578,870,1275,1559,1638,815,1050,456,254,1849,812,247
Lucknow,1187,1639,1254,1357,981,740,1841,499,1317,768,596,79,-,1479,841,1182,1653,566,1311,1391
Ludhiana,1218,2021,2023,1564,1750,105,2070,310,1699,975,570,766,803,2204,1223,1389,1820,1310,2036,1598
Madras,1726,331,1207,1241,1630,2099,621,1895,699,1619,1743,1438,1479,-,1174,1271,771,1647,168,1062
Madurai,1827,432,1687,1342,1846,2264,326,2060,995,1771,1883,1603,1644,480,1471,1372,872,1812,333,1163
Meerut,975,1778,1707,1321,1434,314,2161,66,1470,732,327,532,453,1932,994,1146,1577,934,1764,1355
Nagpur,875,1039,830,849,1163,1118,1551,970,476,445,850,777,841,1174,-,700,1152,993,1340,909
Nasik,504,940,1516,197,1675,1326,1390,1082,754,414,819,1103,1182,1271,700,-,701,1557,1268,209
Panjim,1136,440,1397,584,974,1757,798,1513,676,1115,1250,1612,1653,771,1152,701,-,1595,739,501
Patna,1539,1807,862,1754,621,1248,2009,1000,1469,1205,1112,595,566,1647,993,1557,1595,-,1479,1738
Pondicherry,1723,328,1373,1238,1713,1931,530,1727,865,1667,1713,1270,1311,168,1340,1268,739,1479,-,1059
Pune,664,731,1587,184,1475,1535,1181,1291,545,623,1028,1312,1391,1062,909,209,501,1738,1059,-
Ranchi,1775,1828,560,1807,414,1384,2186,1204,1434,1333,1240,723,802,1767,958,1615,1388,302,1781,1675
Shillong,2518,1872,1640,2038,1281,2267,2384,2019,1309,2224,2131,1614,1585,2008,1785,2063,1985,1019,2174,1854
Shimla,1254,2057,1913,1600,1640,99,2064,347,1693,1011,606,738,659,2138,1217,1425,1856,1225,1970,1634
Surat,263,1143,1579,301,1756,1325,1593,1174,957,607,911,1296,1375,1474,749,262,885,1742,1471,412
Trivandrum,1928,696,1953,1376,1766,2183,218,1950,1259,1907,2042,1892,1933,748,1735,1493,792,2101,622,1293
Varanasi,1367,1752,968,1514,695,976,2115,745,1189,925,832,315,286,1753,713,1339,1524,280,1585,1459
Vijayawada,1478,637,775,973,1198,1860,1053,1712,269,1187,1592,1519,1583,432,742,1023,876,1637,598,814
Vishakapatnam,1785,1093,445,1328,868,2028,1383,1880,599,1355,1760,1687,1699,762,910,1353,1206,1307,930,1144
